tweet_id,label
1,1
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,0
110,1
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,1
140,0
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,0
155,0
156,1
157,0
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,0
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,1
440,1
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,1
543,1
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,0
567,0
568,0
569,0
570,1
571,1
572,0
573,1
574,0
575,0
576,1
577,0
578,1
579,1
580,1
581,0
582,0
583,1
584,0
585,1
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,1
602,0
603,0
604,1
605,1
606,0
607,0
608,0
609,1
610,0
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,1
621,1
622,0
623,0
624,0
625,1
626,1
627,0
628,1
629,1
630,1
631,1
632,1
633,1
634,0
635,0
636,1
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,1
645,0
646,0
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,1
657,1
658,1
659,0
660,0
661,1
662,0
663,1
664,0
665,1
666,0
667,0
668,1
669,1
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,1
678,1
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,1
691,0
692,0
693,1
694,0
695,0
696,1
697,1
698,0
699,1
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,0
749,0
750,0
751,0
752,1
753,0
754,1
755,1
756,1
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,1
781,0
782,1
783,0
784,0
785,1
786,0
787,0
788,0
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,0
805,1
806,1
807,1
808,0
809,0
810,0
811,0
812,1
813,1
814,0
815,0
816,0
817,0
818,1
819,0
820,0
821,1
822,1
823,0
824,0
825,0
826,0
827,1
828,1
829,0
830,1
831,1
832,1
833,1
834,0
835,1
836,0
837,1
838,1
839,1
840,0
841,1
842,0
843,1
844,0
845,0
846,0
847,0
848,1
849,0
850,0
851,1
852,0
853,1
854,1
855,0
856,0
857,0
858,1
859,1
860,0
861,0
862,1
863,0
864,0
865,1
866,1
